RANK,NAME,NETWORTH,SOURCE,AGE,COUNTRY,RESIDENCE,CITIZENSHIP,STATUS,CHILDREN,UNIVERSITY_1,DEGREE_1,UNIVERSITY_2,DEGREE_2,SELF_MADE
1,JEFF BEZOS,177.0,AMAZON,57.0,UNITED STATES,SEATTLE,UNITED STATES,IN RELATIONSHIP,4.0, PRINCETON UNIVERSITY,BACHELOR'S,,,True
2,ELON MUSK,151.0,"TESLA, SPACEX",49.0,UNITED STATES,AUSTIN,UNITED STATES,IN RELATIONSHIP,7.0, UNIVERSITY OF PENNSYLVANIA,BACHELOR'S,,,True
3,BERNARD ARNAULT & FAMILY,150.0,LVMH,72.0,FRANCE,PARIS,FRANCE,MARRIED,5.0, ECOLE POLYTECHNIQUE DE PARIS,BACHELOR'S,,,False
4,BILL GATES,124.0,MICROSOFT,65.0,UNITED STATES,MEDINA,UNITED STATES,DIVORCED,3.0, HARVARD UNIVERSITY,DROP OUT,,,True
5,MARK ZUCKERBERG,97.0,FACEBOOK,36.0,UNITED STATES,PALO ALTO,UNITED STATES,MARRIED,2.0, HARVARD UNIVERSITY,DROP OUT,,,True
6,WARREN BUFFETT,96.0,BERKSHIRE HATHAWAY,90.0,UNITED STATES,OMAHA,UNITED STATES, REMARRIED,3.0, COLUMBIA UNIVERSITY,MASTER'S, UNIVERSITY OF NEBRASKA LINCOLN,BACHELOR'S,True
7,LARRY ELLISON,93.0,SOFTWARE,76.0,UNITED STATES,LANAI,UNITED STATES,IN RELATIONSHIP,4.0, UNIVERSITY OF CHICAGO,DROP OUT," UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",DROP OUT,True
8,LARRY PAGE,91.5,GOOGLE,48.0,UNITED STATES,PALO ALTO,UNITED STATES,MARRIED,1.0, STANFORD UNIVERSITY,MASTER'S, UNIVERSITY OF MICHIGAN,BACHELOR'S,True
9,SERGEY BRIN,89.0,GOOGLE,47.0,UNITED STATES,LOS ALTOS,UNITED STATES,MARRIED,3.0, STANFORD UNIVERSITY,MASTER'S," UNIVERSITY OF MARYLAND, COLLEGE PARK",BACHELOR'S,True
10,MUKESH AMBANI,84.5,DIVERSIFIED,64.0,INDIA,MUMBAI,INDIA,MARRIED,3.0, STANFORD UNIVERSITY,DROP OUT, UNIVERSITY OF MUMBAI,BACHELOR'S,False
11,AMANCIO ORTEGA,77.0,ZARA,85.0,SPAIN,LA CORUNA,SPAIN,MARRIED,3.0,,,,,True
12,FRANCOISE BETTENCOURT MEYERS & FAMILY,73.6,L'ORÉAL,67.0,FRANCE,PARIS,FRANCE,MARRIED,2.0,,,,,False
13,ZHONG SHANSHAN,68.9,"BEVERAGES, PHARMACEUTICALS",66.0,CHINA,HANGZHOU,CHINA,,,,,,,True
14,STEVE BALLMER,68.7,MICROSOFT,65.0,UNITED STATES,HUNTS POINT,UNITED STATES,MARRIED,3.0, HARVARD UNIVERSITY,BACHELOR'S, STANFORD UNIVERSITY,DROP OUT,True
15,MA HUATENG,65.8,INTERNET MEDIA,49.0,CHINA,SHENZHEN,CHINA,MARRIED,, SHENZHEN UNIVERSITY,BACHELOR'S,,,True
16,CARLOS SLIM HELU & FAMILY,62.8,TELECOM,81.0,MEXICO,MEXICO CITY,MEXICO,WIDOWED,6.0, UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,BACHELOR'S,,,True
17,ALICE WALTON,61.8,WALMART,71.0,UNITED STATES,FORT WORTH,UNITED STATES,DIVORCED,, TRINITY UNIVERSITY,BACHELOR'S,,,False
18,JIM WALTON,60.2,WALMART,72.0,UNITED STATES,BENTONVILLE,UNITED STATES,MARRIED,4.0, UNIVERSITY OF ARKANSAS,BACHELOR'S,,,False
19,ROB WALTON,59.5,WALMART,76.0,UNITED STATES,BENTONVILLE,UNITED STATES,MARRIED,3.0, COLUMBIA UNIVERSITY,, UNIVERSITY OF ARKANSAS,BACHELOR'S,False
20,MICHAEL BLOOMBERG,59.0,BLOOMBERG LP,79.0,UNITED STATES,NEW YORK,UNITED STATES,IN RELATIONSHIP,2.0, HARVARD BUSINESS SCHOOL,MASTER'S, JOHNS HOPKINS UNIVERSITY,BACHELOR'S,True
21,COLIN ZHENG HUANG,55.3,E-COMMERCE,41.0,CHINA,SHANGHAI,CHINA,,, UNIVERSITY OF WISCONSIN MADISON,MASTER'S, ZHEJIANG UNIVERSITY,BACHELOR'S,True
22,MACKENZIE SCOTT,53.0,AMAZON,51.0,UNITED STATES,SEATTLE,UNITED STATES,MARRIED,4.0, PRINCETON UNIVERSITY,BACHELOR'S,,,False
23,DANIEL GILBERT,51.9,QUICKEN LOANS,59.0,UNITED STATES,FRANKLIN,UNITED STATES,MARRIED,5.0, MICHIGAN STATE UNIVERSITY,BACHELOR'S, WAYNE STATE UNIVERSITY,BACHELOR'S,True
24,GAUTAM ADANI & FAMILY,50.5,"INFRASTRUCTURE, COMMODITIES",58.0,INDIA,AHMEDABAD,INDIA,MARRIED,2.0,,,,,True
25,PHIL KNIGHT & FAMILY,49.9,NIKE,83.0,UNITED STATES,HILLSBORO,UNITED STATES,MARRIED,3.0, STANFORD GRADUATE SCHOOL OF BUSINESS,MASTER'S, UNIVERSITY OF OREGON,BACHELOR'S,True
26,JACK MA,48.4,E-COMMERCE,56.0,CHINA,HANGZHOU,CHINA,MARRIED,, HANGZHOU TEACHER'S INSTITUTE,BACHELOR'S,,,True
27,CHARLES KOCH,46.4,KOCH INDUSTRIES,85.0,UNITED STATES,WICHITA,UNITED STATES,MARRIED,2.0, MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BACHELOR'S, MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASTER'S,False
27,JULIA KOCH & FAMILY,46.4,KOCH INDUSTRIES,59.0,UNITED STATES,NEW YORK,UNITED STATES,WIDOWED,3.0,,,,,False
29,MASAYOSHI SON,45.4,"INTERNET, TELECOM",63.0,JAPAN,TOKYO,JAPAN,MARRIED,2.0," UNIVERSITY OF CALIFORNIA, BERKELEY",BACHELOR'S,,,True
30,MICHAEL DELL,45.1,DELL COMPUTERS,56.0,UNITED STATES,AUSTIN,UNITED STATES,MARRIED,4.0, THE UNIVERSITY OF TEXAS AT AUSTIN,DROP OUT,,,True
31,TADASHI YANAI & FAMILY,44.1,FASHION RETAIL,72.0,JAPAN,TOKYO,JAPAN,MARRIED,2.0, WASEDA UNIVERSITY,BACHELOR'S,,,True
32,FRANÇOIS PINAULT & FAMILY,42.3,LUXURY GOODS,84.0,FRANCE,PARIS,FRANCE,MARRIED,3.0, HIGH SCHOOL,DROP OUT,,,True
33,DAVID THOMSON & FAMILY,41.8,MEDIA,63.0,CANADA,TORONTO,CANADA,DIVORCED,4.0, UNIVERSITY OF CAMBRIDGE,MASTER'S,,,False
34,BEATE HEISTER & KARL ALBRECHT JR.,39.2,SUPERMARKETS,,GERMANY,GERMANY,GERMANY,,,,,,,False
35,WANG WEI,39.0,PACKAGE DELIVERY,50.0,CHINA,SHENZHEN,CHINA,,,,,,,True
36,MIRIAM ADELSON,38.2,CASINOS,75.0,UNITED STATES,LAS VEGAS,UNITED STATES,WIDOWED,5.0, HEBREW UNIVERSITY JERUSALEM,BACHELOR'S,,,False
37,HE XIANGJIAN,37.7,HOME APPLIANCES,78.0,CHINA,FOSHAN,CHINA,MARRIED,3.0,,,,,True
38,DIETER SCHWARZ,36.9,RETAIL,81.0,GERMANY,NECKARSULM,GERMANY,MARRIED,2.0,,,,,False
39,ZHANG YIMING,35.6,TIKTOK,37.0,CHINA,BEIJING,CHINA,,, NANKAI UNIVERSITY,BACHELOR'S,,,True
40,GIOVANNI FERRERO,35.1,"NUTELLA, CHOCOLATES",56.0,ITALY,BRUSSELS,ITALY,MARRIED,2.0,,,,,False
41,ALAIN WERTHEIMER,34.5,CHANEL,72.0,FRANCE,NEW YORK,FRANCE,MARRIED,3.0,,,,,False
41,GERARD WERTHEIMER,34.5,CHANEL,70.0,FRANCE,NEW YORK,FRANCE,MARRIED,2.0,,,,,False
43,LI KA-SHING,33.7,DIVERSIFIED,92.0,HONG KONG,HONG KONG,HONG KONG,WIDOWED,2.0, HIGH SCHOOL,DROP OUT,,,True
44,QIN YINGLIN & FAMILY,33.5,PIG BREEDING,56.0,CHINA,NANYANG,CHINA,MARRIED,,,,,,True
45,WILLIAM LEI DING,33.0,ONLINE GAMES,49.0,CHINA,HANGZHOU,CHINA,,, UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA,BACHELOR'S,,,True
46,LEN BLAVATNIK,32.0,"MUSIC, CHEMICALS",63.0,UNITED STATES,LONDON,UNITED STATES,MARRIED,, COLUMBIA UNIVERSITY,MASTER'S," HARVARD BUSINESS SCHOOL; BACHELOR OF ARTS/SCIENCE, MOSCOW STATE UNIVERSITY",MASTER'S,True
47,LEE SHAU KEE,31.7,REAL ESTATE,93.0,HONG KONG,HONG KONG,HONG KONG,DIVORCED,5.0,,,,,True
48,JACQUELINE MARS,31.3,"CANDY, PET FOOD",81.0,UNITED STATES,THE PLAINS,UNITED STATES,DIVORCED,3.0, BRYN MAWR COLLEGE,BACHELOR'S,,,False
48,JOHN MARS,31.3,"CANDY, PET FOOD",85.0,UNITED STATES,JACKSON,UNITED STATES,MARRIED,3.0, THE HOTCHKISS SCHOOL,, YALE UNIVERSITY,BACHELOR'S,False
50,YANG HUIYAN & FAMILY,29.6,REAL ESTATE,39.0,CHINA,FOSHAN,CHINA,MARRIED,, OHIO STATE UNIVERSITY,BACHELOR'S,,,False
51,ALEXEY MORDASHOV & FAMILY,29.1,"STEEL, INVESTMENTS",55.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,7.0, LENINGRAD INSTITUTE OF ECONOMICS,BACHELOR'S, UNIVERSITY OF NORTHUMBRIA,MASTER'S,True
52,ROBIN ZENG,28.4,BATTERIES,52.0,HONG KONG,NINGDE,HONG KONG,,, CHINESE ACADEMY OF SOCIAL SCIENCES,DOCTORATE,,,True
53,HUI KA YAN,27.7,REAL ESTATE,62.0,CHINA,SHENZHEN,CHINA,MARRIED,2.0, WUHAN U OF  SCIENCE & TEC,BACHELOR'S,,,True
53,SUSANNE KLATTEN,27.7,"BMW, PHARMACEUTICALS",59.0,GERMANY,BAD HOMBURG,GERMANY,MARRIED,3.0, INTERNATIONAL INSTITUTE FOR MANAGEMENT AND DEVELOPMENT,MASTER'S,,,False
55,VLADIMIR POTANIN,27.0,METALS,60.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,7.0, MOSCOW INSTITUTE OF INTERNATIONAL RELATIONS,BACHELOR'S,,,True
56,DIETRICH MATESCHITZ,26.9,RED BULL,76.0,AUSTRIA,FUSCHL AM SEE,AUSTRIA,SINGLE,1.0, UNIVERSITY OF VIENNA,MASTER'S,,,True
57,PANG KANG,26.4,SOY SAUCE,65.0,CHINA,FOSHAN,CHINA,,,,,,,True
58,KLAUS-MICHAEL KUEHNE,26.3,SHIPPING,83.0,GERMANY,SCHINDELLEGI,GERMANY,MARRIED,,,,,,False
59,VLADIMIR LISIN,26.2,"STEEL, TRANSPORT",65.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,3.0, RUSSIAN ACADEMY OF ECONOMICS,DOCTORATE, SIBERIAN METALLURGICAL INSTITUTE,BACHELOR'S,True
60,WANG XING,26.1,E-COMMERCE,42.0,CHINA,BEIJING,CHINA,,, TSINGHUA UNIVERSITY,,,,True
61,GERMAN LARREA MOTA VELASCO & FAMILY,25.9,MINING,67.0,MEXICO,MEXICO CITY,MEXICO,MARRIED,,,,,,False
62,LEONARDO DEL VECCHIO & FAMILY,25.8,EYEGLASSES,85.0,ITALY,MILAN,ITALY,MARRIED,6.0,,,,,True
62,TAKEMITSU TAKIZAKI,25.8,SENSORS,75.0,JAPAN,OSAKA,JAPAN,MARRIED,,,,,,True
64,LEONARD LAUDER,25.5,ESTEE LAUDER,88.0,UNITED STATES,NEW YORK,UNITED STATES, REMARRIED,2.0, UNIVERSITY OF PENNSYLVANIA,BACHELOR'S,,,False
65,THOMAS PETERFFY,25.0,DISCOUNT BROKERAGE,76.0,UNITED STATES,PALM BEACH,UNITED STATES,DIVORCED,3.0, NEW YORK UNIVERSITY,DROP OUT,,,True
66,VAGIT ALEKPEROV,24.9,OIL,70.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,1.0, AZERBAIJAN INSTITUTE OF OIL AND CHEMISTRY,BACHELOR'S,,,True
66,LEONID MIKHELSON,24.9,"GAS, CHEMICALS",65.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,2.0, KUYBYSHEV ENGINEERING AND CONSTRUCTION INSTITUTE,BACHELOR'S,,,True
68,JIM SIMONS,24.6,HEDGE FUNDS,83.0,UNITED STATES,EAST SETAUKET,UNITED STATES,MARRIED,3.0, MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BACHELOR'S," UNIVERSITY OF CALIFORNIA, BERKELEY",DOCTORATE,True
69,JIANG RENSHENG & FAMILY,24.4,VACCINES,67.0,CHINA,CHONGQING,CHINA,MARRIED,1.0, GUILIN MEDICAL UNIVERSITY,ASSOCIATE'S,,,True
70,GINA RINEHART,23.6,MINING,67.0,AUSTRALIA,PERTH,AUSTRALIA,WIDOWED,4.0,,,,,False
71,RUPERT MURDOCH & FAMILY,23.5,"NEWSPAPERS, TV NETWORK",90.0,UNITED STATES,NEW YORK,UNITED STATES,MARRIED,6.0, OXFORD UNIVERSITY,BACHELOR'S, OXFORD UNIVERSITY,MASTER'S,False
71,SHIV NADAR,23.5,SOFTWARE SERVICES,75.0,INDIA,DELHI,INDIA,MARRIED,1.0, PSG COLLEGE OF TECHNOLOGY,BACHELOR'S,,,True
73,ZHANG ZHIDONG,23.4,INTERNET MEDIA,49.0,CHINA,SHENZHEN,CHINA,,, SHENZHEN UNIVERSITY,BACHELOR'S, SOUTH CHINA UNIVERSITY OF TECHNOLOGY,MASTER'S,True
74,IRIS FONTBONA & FAMILY,23.3,MINING,78.0,CHILE,SANTIAGO,CHILE,WIDOWED,3.0,,,,,False
75,LEI JUN,23.0,SMARTPHONES,51.0,CHINA,BEIJING,CHINA,MARRIED,2.0, WUHAN UNIVERSITY,BACHELOR'S,,,True
75,ZHANG YONG,23.0,RESTAURANTS,50.0,SINGAPORE,SINGAPORE,SINGAPORE,MARRIED,,,,,,True
77,RICHARD QIANGDONG LIU,22.4,E-COMMERCE,47.0,CHINA,BEIJING,CHINA,MARRIED,, RENMIN UNIVERSITY OF CHINA,BACHELOR'S,,,True
78,GENNADY TIMCHENKO,22.0,"OIL, GAS",68.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,3.0, LENINGRAD MECHANICAL INSTITUTE,BACHELOR'S,,,True
79,STEPHEN SCHWARZMAN,21.9,INVESTMENTS,74.0,UNITED STATES,NEW YORK,UNITED STATES,MARRIED,3.0, HARVARD BUSINESS SCHOOL,MASTER'S, YALE UNIVERSITY,BACHELOR'S,True
80,GOH CHENG LIANG,21.7,PAINTS,93.0,SINGAPORE,SINGAPORE,SINGAPORE,WIDOWED,3.0,,,,,True
81,STEFAN QUANDT,21.6,BMW,54.0,GERMANY,FRANKFURT,GERMANY,MARRIED,1.0, TECHNICAL UNIVERSITY OF KARLSRUHE,ASSOCIATE'S,,,False
82,LI XITING,21.5,MEDICAL DEVICES,70.0,SINGAPORE,SHENZHEN,SINGAPORE,,, UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,BACHELOR'S,,,True
83,PIERRE OMIDYAR,21.4,"EBAY, PAYPAL",53.0,UNITED STATES,HONOLULU,UNITED STATES,MARRIED,3.0, TUFTS UNIVERSITY,BACHELOR'S,,,True
84,STEFAN PERSSON,21.3,H&M,73.0,SWEDEN,STOCKHOLM,SWEDEN,MARRIED,3.0, UNIVERSITY OF STOCKHOLM,ASSOCIATE'S,,,False
85,ABIGAIL JOHNSON,20.9,MONEY MANAGEMENT,59.0,UNITED STATES,MILTON,UNITED STATES,MARRIED,2.0, HARVARD BUSINESS SCHOOL,MASTER'S, HOBART AND WILLIAM SMITH,BACHELOR'S,False
86,R. BUDI HARTONO,20.5,"BANKING, TOBACCO",80.0,INDONESIA,KUDUS,INDONESIA,MARRIED,3.0,,,,,False
87,ANDREW FORREST,20.4,MINING,59.0,AUSTRALIA,PERTH,AUSTRALIA,MARRIED,3.0, UNIVERSITY OF WESTERN AUSTRALIA,BACHELOR'S,,,True
88,RAY DALIO,20.3,HEDGE FUNDS,71.0,UNITED STATES,GREENWICH,UNITED STATES,MARRIED,4.0, HARVARD BUSINESS SCHOOL,MASTER'S, LONG ISLAND UNIVERSITY,BACHELOR'S,True
89,MICHAEL HARTONO,19.7,"BANKING, TOBACCO",81.0,INDONESIA,KUDUS,INDONESIA,MARRIED,4.0,,,,,False
89,LI SHUFU,19.7,AUTOMOBILES,57.0,CHINA,HANGZHOU,CHINA,MARRIED,, YANSHAN UNIVERSITY,MASTER'S,,,True
89,ZHONG HUIJUAN,19.7,PHARMACEUTICALS,60.0,CHINA,SHANGHAI,CHINA,MARRIED,, NANJING UNIVERSITY,MASTER'S,,,True
92,XU HANG,19.5,MEDICAL DEVICES,54.0,HONG KONG,SHENZHEN,HONG KONG,,, CEIBS,MASTER'S," TSINGHUA UNIVERSITY; MASTER OF SCIENCE IN ENGINEERING, TSINGHUA UNIVERSITY",BACHELOR'S,True
93,LUI CHE WOO & FAMILY,19.4,CASINOS/HOTELS,92.0,HONG KONG,HONG KONG,HONG KONG,MARRIED,5.0,,,,,True
94,EMMANUEL BESNIER,19.1,CHEESE,50.0,FRANCE,LAVAL,FRANCE,,,,,,,False
95,LAURENE POWELL JOBS & FAMILY,19.0,"APPLE, DISNEY",57.0,UNITED STATES,PALO ALTO,UNITED STATES,WIDOWED,3.0, STANFORD GRADUATE SCHOOL OF BUSINESS,MASTER'S," UNIVERSITY OF PENNSYLVANIA, THE WHARTON SCHOOL",BACHELOR'S,False
96,ERIC SCHMIDT,18.9,GOOGLE,66.0,UNITED STATES,ATHERTON,UNITED STATES,MARRIED,2.0, PRINCETON UNIVERSITY,BACHELOR'S," UNIVERSITY OF CALIFORNIA, BERKELEY; MASTER OF SCIENCE, UNIVERSITY OF CALIFORNIA, BERKELEY",DOCTORATE,True
96,SUN PIAOYANG,18.9,PHARMACEUTICALS,62.0,CHINA,LIANYUNGANG,CHINA,MARRIED,1.0, CHINA PHARMACEUTICAL UNIVERSITY,BACHELOR'S, NANJING UNIVERSITY,DOCTORATE,True
98,"THEO ALBRECHT, JR. & FAMILY",18.8,"ALDI, TRADER JOE'S",70.0,GERMANY,MULHEIM AN DER RUHR,GERMANY,,1.0,,,,,False
99,ALISHER USMANOV,18.4,"STEEL, TELECOM, INVESTMENTS",67.0,RUSSIA,MOSCOW,RUSSIA,MARRIED,, FINANCE ACADEMY UNDER THE GOVERNMENT OF THE RUSSIAN FEDERATION,MASTER'S, MOSCOW INSTITUTE OF INTERNATIONAL RELATIONS,MASTER'S,True
100,ROBERT PERA,18.3,WIRELESS NETWORKING GEAR,43.0,UNITED STATES,SAN JOSE,UNITED STATES,SINGLE,," UNIVERSITY OF CALIFORNIA, SAN DIEGO",BACHELOR'S," UNIVERSITY OF CALIFORNIA, SAN DIEGO",MASTER'S,True
100,WU YAJUN,18.3,REAL ESTATE,57.0,CHINA,BEIJING,CHINA,DIVORCED,1.0,,,,,True
102,FAN HONGWEI & FAMILY,18.2,PETROCHEMICALS,54.0,CHINA,WUJIANG,CHINA,MARRIED,,,,,,True
103,DHANIN CHEARAVANONT,18.1,DIVERSIFIED,82.0,THAILAND,BANGKOK,THAILAND,MARRIED,5.0,,,,,False
